User_ID,Product_ID,Title,Description,Category,Rating,Purchase_Frequency,Last_Purchase_Date,Price,Dimensions,Color,Size,Weight
101,2001,Running Shoes,Lightweight and comfortable shoes for jogging.,Sports,4.5,15,2024-03-01,120,30x10x12 cm,Blue,Universal,250g
102,2002,Wireless Earbuds,Noise-cancelling earbuds with high-quality sound.,Electronics,4.3,20,2024-02-25,60,5x2x3 cm,Black,Compact,50g
103,2003,Laptop Backpack,Spacious backpack with multiple compartments.,Accessories,4.7,12,2024-03-05,45,40x30x10 cm,Grey,Large,800g
104,2004,Smartphone,Latest 5G smartphone with high-resolution display.,Electronics,4.6,25,2024-02-28,799,15x7x0.8 cm,Silver,Medium,180g
105,2005,Gaming Mouse,Ergonomic gaming mouse with customizable buttons.,Electronics,4.4,18,2024-03-03,30,12x7x4 cm,Red,Standard,100g
106,2006,Bluetooth Speaker,Portable wireless speaker with deep bass.,Electronics,4.2,22,2024-02-26,50,8x8x8 cm,White,Portable,350g
107,2007,Yoga Mat,Eco-friendly yoga mat with non-slip surface.,Sports,4.8,10,2024-03-06,25,180x60x0.5 cm,Green,Large,2kg
108,2008,Coffee Maker,Advanced coffee maker with programmable settings.,Home Appliances,4.1,14,2024-02-27,90,30x20x25 cm,Black,Medium,1.5kg
109,2009,Mechanical Keyboard,RGB mechanical keyboard for gaming and work.,Electronics,4.6,19,2024-03-04,70,45x15x5 cm,RGB,Full-size,900g
110,2010,Fitness Tracker,Smart fitness tracker with heart rate monitor.,Health & Fitness,4.5,16,2024-02-29,55,10x5x1 cm,Blue,Adjustable,200g
111,2011,Hiking Boots,Waterproof boots with advanced traction for outdoor adventures.,Sports,4.7,8,2024-03-07,150,35x15x15 cm,Brown,Large,700g
112,2012,Noise-Cancelling Headphones,Premium over-ear headphones with 40-hour battery life.,Electronics,4.9,17,2024-03-02,199,20x10x5 cm,Silver,Over-ear,300g
113,2013,Smart Home Security Camera,AI-powered camera with night vision and mobile alerts.,Home Security,4.6,11,2024-03-08,129,10x7x7 cm,White,Compact,250g
114,2014,Portable Power Station,High-capacity power bank for outdoor and emergency use.,Electronics,4.4,6,2024-03-09,299,40x25x20 cm,Grey,Large,5kg
115,2015,Electric Toothbrush,Sonic cleaning technology with multiple brushing modes.,Personal Care,4.5,22,2024-02-24,79,25x5x5 cm,Blue,Standard,200g
116,2016,Resistance Bands Set,Professional-grade exercise bands for strength training.,Sports,4.7,14,2024-03-10,35,30x20x5 cm,Multicolor,Universal,500g
117,2017,Smart Watch,Advanced fitness and health tracking smartwatch.,Health & Fitness,4.6,20,2024-02-23,199,4x4x1 cm,Black,Adjustable,80g
118,2018,Dutch Oven,Cast iron cookware with enameled exterior.,Kitchen Appliances,4.8,9,2024-03-11,89,30x25x15 cm,Red,Large,5.5kg
119,2019,Wireless Charging Pad,Fast charging station for multiple devices.,Electronics,4.3,25,2024-02-22,49,10x10x1 cm,Black,Compact,100g
120,2020,Camping Tent,4-person waterproof tent with easy setup.,Outdoor Gear,4.5,7,2024-03-12,199,250x220x180 cm,Green,Large,3.5kg
121,2021,Robot Vacuum Cleaner,Smart navigation with app control and scheduling.,Home Appliances,4.4,13,2024-02-21,249,35x35x10 cm,White,Medium,3kg
122,2022,Running Shorts,Moisture-wicking athletic shorts for high-intensity workouts.,Sports,4.6,16,2024-03-13,40,40x20x2 cm,Black,Medium,150g
123,2023,Kindle Paperwhite,E-reader with adjustable warm light and waterproof design.,Electronics,4.7,18,2024-02-20,139,16x11x0.8 cm,Black,Compact,200g
124,2024,Essential Oil Diffuser,Aromatherapy device with LED color changing lights.,Home Decor,4.5,12,2024-03-14,45,15x15x15 cm,Wood Grain,Medium,500g
125,2025,Outdoor Grill,Portable propane grill with multiple cooking zones.,Kitchen Appliances,4.6,8,2024-03-15,299,120x60x100 cm,Stainless Steel,Large,25kg
126,2026,Digital Drawing Tablet,Graphic tablet with pressure-sensitive pen.,Electronics,4.7,15,2024-03-16,180,30x20x1 cm,Black,Medium,600g
