title,description,category,brand,color,material,price,size,rating
Running Shoes,Durable and comfortable running shoes,Sports,Brand B,Green,Wood,296.31,1,2.2
Lipstick,Colorful building blocks for creative play,Home & Kitchen,Brand B,Red,Cotton,46.18,9,3.3
Mystery Novel,Long-lasting lipstick with vibrant color,Beauty,Brand D,Red,Metal,149.32,1,2.9
Non-stick Pan,Premium non-stick coating for healthy cooking,Home & Kitchen,Brand C,Gray,Leather,333.79,4,1.4
Headphones,High-quality sound with noise cancellation,Electronics,Brand A,White,Cotton,291.96,10,3.6
Smartphone,Latest smartphone with advanced features,Electronics,Brand C,Black,Plastic,899.99,6,4.8
Handbag,Spacious handbag with stylish design,Fashion,Brand A,Blue,Leather,75.49,5,3.9
Wristwatch,Stylish analog wristwatch with leather strap,Fashion,Brand B,Brown,Leather,249.99,2,4.5
Perfume,Refreshing fragrance for daily wear,Beauty,Brand D,Transparent,Glass,99.99,3,4.1
Gaming Mouse,Ergonomic design with high precision,Electronics,Brand A,Black,Plastic,45.99,7,4.6
Bluetooth Speaker,Portable speaker with deep bass sound,Electronics,Brand C,Red,Metal,129.99,8,4.3
Yoga Mat,Comfortable and non-slip surface for yoga,Fitness,Brand B,Purple,Rubber,39.99,6,4.2
Backpack,Spacious backpack with multiple compartments,Fashion,Brand A,Gray,Nylon,89.99,9,4.7
Laptop,High-performance laptop for work and gaming,Electronics,Brand C,Silver,Metal,1299.99,10,4.9
Microwave Oven,Efficient microwave oven with smart settings,Home & Kitchen,Brand B,White,Steel,199.99,8,4.4
Sunglasses,UV protection stylish sunglasses,Fashion,Brand D,Black,Plastic,79.99,3,4.0
Cookware Set,Complete cookware set for versatile cooking,Home & Kitchen,Brand C,Silver,Steel,149.99,7,4.5
Wireless Earbuds,True wireless earbuds with noise cancellation,Electronics,Brand A,Black,Plastic,59.99,5,4.2
Coffee Maker,Automatic coffee maker with multiple brew options,Home & Kitchen,Brand B,Black,Plastic,89.99,6,4.3
Digital Camera,Professional digital camera with 4K recording,Electronics,Brand D,Black,Metal,599.99,10,4.7
Smart TV,Ultra HD smart TV with streaming apps,Electronics,Brand C,Black,Plastic,799.99,10,4.8
